ANALISI PEGGIORAMENTI LAMBDA=0.45
========================================================================================================================

LIMIT = 5000000
MAX_BLOCK_STEPS = 300
DEBT_LOOKAHEAD = 80
LAMBDA = 0.45

Peggioramenti trovati: 129
Loss medio: 47.031008
Initial debt medio: 6.462500
Future debt at log step medio: 8.033661
Ratio v2=1 medio fino a H descent: 0.587405

Top 30 per loss
------------------------------------------------------------------------------------------------------------------------
n=   1824335 | log_step=   5 | h_step=  91 | loss=  86 | init_debt=10.797000 | debt_log=13.212038 | debt_delta_log=+2.415037 | h_delta_log=+0.341504 | max_ratio=4503.573 | ratio_1=0.670330
n=   1896063 | log_step=  16 | h_step= 109 | loss=  93 | init_debt=9.212038 | debt_log=11.362413 | debt_delta_log=+2.150375 | h_delta_log=+0.523639 | max_ratio=4333.203 | ratio_1=0.678899
n=   2052377 | log_step=   1 | h_step=  89 | loss=  88 | init_debt=10.797000 | debt_log=11.797000 | debt_delta_log=+1.000000 | h_delta_log=+0.162318 | max_ratio=4003.176 | ratio_1=0.662921
n=   2162171 | log_step=   6 | h_step=  94 | loss=  88 | init_debt=10.532338 | debt_log=11.797000 | debt_delta_log=+1.264663 | h_delta_log=+0.229301 | max_ratio=3799.896 | ratio_1=0.648936
n=   2432443 | log_step=   4 | h_step=  92 | loss=  88 | init_debt=10.362413 | debt_log=11.797000 | debt_delta_log=+1.434588 | h_delta_log=+0.187984 | max_ratio=3377.685 | ratio_1=0.652174
n=   3168559 | log_step=   7 | h_step=  90 | loss=  83 | init_debt=11.117300 | debt_log=12.627075 | debt_delta_log=+1.509775 | h_delta_log=+0.051919 | max_ratio=3377.674 | ratio_1=0.644444
n=   2736503 | log_step=   3 | h_step=  90 | loss=  87 | init_debt=10.212038 | debt_log=11.797000 | debt_delta_log=+1.584963 | h_delta_log=+0.543334 | max_ratio=3002.381 | ratio_1=0.666667
n=   2844095 | log_step=  15 | h_step= 107 | loss=  92 | init_debt=8.797000 | debt_log=11.362413 | debt_delta_log=+2.565412 | h_delta_log=+0.304941 | max_ratio=2888.802 | ratio_1=0.682243
n=   4010209 | log_step=   1 | h_step=  86 | loss=  85 | init_debt=10.797000 | debt_log=11.797000 | debt_delta_log=+1.000000 | h_delta_log=+0.162318 | max_ratio=2668.778 | ratio_1=0.651163
n=   3370779 | log_step=  18 | h_step= 110 | loss=  92 | init_debt=8.362413 | debt_log=11.362413 | debt_delta_log=+3.000000 | h_delta_log=+0.330606 | max_ratio=2437.426 | ratio_1=0.681818
